State,HospitalCount,AvgRating,RatedHospitalCount,PctWithWorseMeasure,TotalWorseMeasures
AK,25,2.9,10,24.0,19.0
AL,100,2.71,59,44.0,95.0
AR,91,2.84,44,36.3,79.0
AS,1,,0,0.0,0.0
AZ,107,3.11,55,41.1,84.0
CA,378,3.1,280,54.5,390.0
CO,97,3.96,49,26.8,38.0
CT,36,3.42,26,55.6,42.0
DC,10,2.86,7,50.0,12.0
DE,13,3.14,7,38.5,7.0
FL,221,3.07,169,65.6,333.0
GA,149,2.94,84,45.0,149.0
GU,2,2.0,1,50.0,2.0
HI,24,3.18,11,41.7,21.0
IA,118,3.24,62,33.9,63.0
ID,48,3.55,22,16.7,9.0
IL,194,3.03,136,54.1,211.0
IN,151,3.36,91,37.7,101.0
KS,138,3.18,55,27.5,49.0
KY,103,2.76,67,50.5,99.0
LA,161,2.81,59,29.8,92.0
MA,84,3.2,54,52.4,116.0
MD,56,3.31,42,60.7,75.0
ME,36,3.21,24,44.4,19.0
MI,148,3.09,94,37.2,111.0
MN,136,3.77,57,20.6,37.0
MO,121,3.14,80,48.8,108.0
MP,1,,0,100.0,5.0
MS,108,2.33,52,45.4,121.0
MT,63,3.25,20,20.6,21.0
NC,120,3.3,90,51.7,113.0
ND,47,3.25,16,19.1,11.0
NE,93,3.5,36,26.9,34.0
NH,28,3.17,23,53.6,24.0
NJ,79,3.15,61,70.9,138.0
NM,45,2.48,23,40.0,33.0
NV,46,3.0,25,47.8,34.0
NY,191,2.77,136,60.7,281.0
OH,196,3.58,128,45.4,159.0
OK,135,3.29,62,25.9,65.0
OR,62,3.25,44,48.4,48.0
PA,187,3.48,132,49.7,151.0
PR,60,1.71,7,56.7,52.0
RI,13,3.55,11,46.2,10.0
SC,66,3.43,49,51.5,62.0
SD,61,3.89,18,11.5,7.0
TN,122,3.08,72,44.3,99.0
TX,468,3.38,217,34.0,270.0
UT,52,4.24,29,5.8,4.0
VA,96,3.68,76,56.2,98.0
VI,2,1.5,2,100.0,5.0
VT,17,3.25,12,47.1,17.0
WA,100,3.23,60,39.0,73.0
WI,141,3.78,86,29.1,64.0
WV,55,2.76,34,45.5,61.0
WY,30,3.38,16,16.7,7.0
