FacilityID,FacilityName,City,State,County,HospitalType,HospitalOwnership,OwnershipCategory,EmergencyServices,OverallRating,TotalWorseMeasures,TotalBetterMeasures,TotalMeasuresCompared,HasWorseMeasure
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,4.0,1.0,4.0,26.0,True
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,3.0,1.0,1.0,22.0,True
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,LAUDERDALE,Acute Care Hospitals,Proprietary,For-Profit,Yes,2.0,3.0,5.0,25.0,True
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,1.0,3.0,0.0,11.0,True
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,3.0,2.0,2.0,23.0,True
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,DE KALB,Acute Care Hospitals,Proprietary,For-Profit,Yes,2.0,2.0,0.0,17.0,True
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,2.0,2.0,1.0,24.0,True
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,,0.0,0.0,2.0,False
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,2.0,2.0,2.0,19.0,True
010021,DALE MEDICAL CENTER,OZARK,AL,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,,1.0,0.0,7.0,True
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,CHEROKEE,Acute Care Hospitals,Proprietary,For-Profit,Yes,,0.0,0.0,4.0,False
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,2.0,4.0,3.0,26.0,True
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,2.0,3.0,0.0,24.0,True
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,LEE,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,3.0,2.0,1.0,27.0,True
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Government - State,Government,Yes,2.0,4.0,4.0,27.0,True
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,ELMORE,Acute Care Hospitals,Voluntary non-profit - Private,Nonprofit,Yes,,0.0,0.0,3.0,False
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,2.0,1.0,2.0,21.0,True
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,COVINGTON,Acute Care Hospitals,Proprietary,For-Profit,Yes,2.0,1.0,0.0,15.0,True
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,3.0,6.0,4.0,27.0,True
